Company Names,Cars Names,Engines,CC/Battery Capacity,HorsePower,Total Speed,Performance(0 - 100 )KM/H,Cars Prices,Fuel Types,Seats,Torque,Turbo
Nissan,Patrol Royale,5.6L V8,5552.0,400.0,210,6.6,42.5,Petrol,7,560.0,No
Nissan,Infiniti QX80*,5.6L V8,5552.0,400.0,210,6.5,335.0,Petrol,7,560.0,No
Nissan,Tiida,1.6L Inline-4,1598.0,126.0,190,10.1,257.0,Petrol,5,154.0,No
Nissan,Pulsar,1.2L Turbocharged Inline-4,1197.0,115.0,190,10.7,9.5,Petrol,5,190.0,Yes
Nissan,Latio,1.5L Inline-4,1498.0,102.0,175,11.5,6.5,Petrol,5,139.0,No
Nissan,Bluebird Sylphy,2.0L Inline-4,1997.0,133.0,185,10.5,259.0,Petrol,5,191.0,No
Nissan,March,1.2L Inline-3,1198.0,79.0,170,13.7,6.0,Petrol,5,106.0,No
Nissan,Rogue Sport,2.0L Inline-4,1997.0,141.0,190,9.8,492.0,Petrol,5,199.0,No
Nissan,X-Trail Hybrid,2.0L Inline-4 Hybrid,1997.0,179.0,180,9.4,264.0,Hybrid,5,207.0,No
Nissan,Pathfinder Rock Creek,3.5L V6,3498.0,284.0,190,7.4,431.0,Petrol,7,351.0,No
Nissan,Armada Platinum,5.6L V8,5552.0,400.0,210,6.5,182.5,Petrol,8,560.0,No
Nissan,Terrano XL,1.6L Inline-4,1598.0,104.0,165,12.5,7.0,Petrol,5,145.0,No
Nissan,GT-R50 by Italdesign,3.8L Twin-Turbo V6,3799.0,720.0,315,2.5,33.666666666666664,Petrol,2,780.0,Yes
Nissan,370Z NISMO,3.7L V6,3696.0,350.0,250,5.2,417.5,Petrol,2,374.0,No
Nissan,Ariya E-4ORCE,Dual Electric Motors,87.0,389.0,200,5.1,30.0,Electric,5,600.0,No
Nissan,Patrol NISMO,5.6L V8,5552.0,428.0,210,6.5,52.5,Petrol,7,560.0,No
Nissan,Infiniti Q60*,3.0L V6 Twin-Turbo,2997.0,300.0,250,5.0,395.5,Petrol,4,400.0,Yes
Nissan,Primera,2.0L Inline-4,1998.0,140.0,200,9.6,10.0,Petrol,5,190.0,No
Nissan,Skyline,3.0L V6 Twin-Turbo,2997.0,400.0,250,5.0,25.0,Petrol,5,475.0,Yes
Nissan,Cedric,2.0L Inline-6,1998.0,150.0,190,10.5,11.0,Petrol,5,190.0,No
Nissan,Gloria,2.5L V6,2498.0,210.0,210,8.6,15.0,Petrol,5,250.0,No
Nissan,Stanza,1.8L Inline-4,1796.0,120.0,175,11.0,259.0,Petrol,5,170.0,No
Nissan,Patrol Super Safari,4.8L Inline-6,4750.0,280.0,190,8.2,27.5,Petrol,7,451.0,No
Nissan,Pathfinder Hybrid,2.5L Inline-4 Hybrid,2488.0,250.0,190,7.7,271.0,Hybrid,7,329.0,No
Nissan,X-Terra Pro-4X,2.5L Inline-4,2498.0,190.0,175,10.8,20.0,Petrol,7,240.0,No
Nissan,Rogue Platinum,1.5L Turbo Inline-3,1497.0,201.0,180,8.2,19.0,Petrol,5,300.0,Yes
Nissan,Qashqai Tekna,1.3L Turbo Hybrid Inline-4,1332.0,158.0,190,9.2,18.0,Hybrid,5,270.0,Yes
Nissan,GT-R V-Spec,3.8L Twin-Turbo V6,3799.0,600.0,330,2.8,87.5,Petrol,2,652.0,Yes
Nissan,Skyline NISMO,3.0L Twin-Turbo V6,2997.0,420.0,270,4.7,27.5,Petrol,5,475.0,Yes
Nissan,Ariya Lounge Edition,Dual Electric Motors,87.0,389.0,200,5.1,31.5,Electric,5,600.0,No
Nissan,Patrol Titanium,5.6L V8,5552.0,428.0,210,6.5,49.0,Petrol,7,560.0,No
Nissan,Infiniti FX50*,5.0L V8,5026.0,390.0,250,5.6,405.5,Petrol,5,500.0,No
Nissan,Avenir,2.0L Inline-4,1998.0,140.0,180,9.8,10.0,Petrol,5,186.0,No
Nissan,Wingroad,1.8L Inline-4,1798.0,125.0,175,10.8,9.0,Petrol,5,168.0,No
Nissan,Presea,1.8L Inline-4,1838.0,115.0,170,11.5,258.5,Petrol,5,161.0,No
Nissan,Leopard,3.0L V6,2960.0,210.0,200,8.4,16.0,Petrol,5,265.0,No
Nissan,Sunny NISMO Edition,1.6L Turbo Inline-4,1598.0,190.0,200,7.5,12.0,Petrol,5,240.0,Yes
Nissan,Paladin,2.4L Inline-4,2438.0,150.0,180,10.6,10.0,Petrol,5,217.0,No
Nissan,Hardbody SUV,2.5L Inline-4,2498.0,158.0,175,11.0,259.0,Petrol,5,225.0,No
Nissan,Patrol Desert Edition,5.6L V8,5552.0,428.0,210,6.5,47.5,Petrol,7,560.0,No
Nissan,Pathfinder Armada,5.6L V8,5552.0,400.0,200,6.5,30.0,Petrol,7,560.0,No
Nissan,Rogue Midnight Edition,1.5L Turbo Inline-3,1497.0,201.0,180,8.2,19.5,Petrol,5,300.0,Yes
Nissan,GT-R Black Edition,3.8L Twin-Turbo V6,3799.0,600.0,330,2.8,92.5,Petrol,2,652.0,Yes
Nissan,Fairlady Z Heritage,3.0L Twin-Turbo V6,2997.0,400.0,250,4.2,24.0,Petrol,2,475.0,Yes
Nissan,Skyline GT-R R34,2.6L Twin-Turbo Inline-6,2568.0,276.0,250,5.6,35.0,Petrol,4,392.0,Yes
Nissan,Ariya Premiere,Dual Electric Motors,87.0,389.0,200,5.1,33.5,Electric,5,600.0,No
Nissan,Infiniti QX55*,2.0L VC-Turbo Inline-4,1997.0,268.0,230,6.5,25.0,Petrol,5,380.0,Yes
Nissan,NV350 Caravan,2.5L Inline-4 Diesel,2488.0,129.0,155,12.5,14.0,Diesel,8,356.0,No
Nissan,Navara,2.3L Inline-4 Diesel,2298.0,190.0,180,10.2,16.0,Diesel,5,450.0,No
Nissan,Titan XD,5.6L V8,5552.0,400.0,195,6.9,27.5,Petrol,6,560.0,No
Nissan,Evalia,1.5L Inline-4 Diesel,1461.0,85.0,140,15.0,12.5,Diesel,7,200.0,No
Nissan,Cabstar,2.5L Inline-4 Diesel,2488.0,130.0,145,14.8,13.5,Diesel,3,350.0,No
Nissan,Cherry,1.4L Inline-4,1397.0,67.0,145,14.0,7.0,Petrol,5,110.0,No
Nissan,Laurel,2.8L Inline-6 Diesel,2825.0,94.0,160,12.5,11.0,Diesel,5,184.0,No
Nissan,Silvia,2.0L Turbo Inline-4,1998.0,247.0,235,5.9,22.5,Petrol,4,275.0,Yes
Nissan,NX Coupe,2.0L Inline-4,1998.0,140.0,200,9.0,11.0,Petrol,4,180.0,No
Nissan,AD Wagon,1.5L Inline-4,1498.0,105.0,165,12.3,8.0,Petrol,5,150.0,No
Nissan,Patrol Super Safari Y61,4.8L Inline-6,4750.0,280.0,190,8.2,29.0,Petrol,7,451.0,No
Nissan,Pathfinder Rock Creek Edition,3.5L V6,3498.0,284.0,195,7.2,22.0,Petrol,7,351.0,No
Nissan,Terrano II,2.7L Inline-4 Diesel,2664.0,125.0,160,12.9,14.0,Diesel,5,278.0,No
Nissan,Murano CrossCabriolet,3.5L V6,3498.0,260.0,195,7.6,23.5,Petrol,4,325.0,No
Nissan,X-Trail Tekna,1.5L Turbo Hybrid,1497.0,204.0,190,8.0,21.5,Hybrid,5,305.0,Yes
Nissan,GT-R LM NISMO,3.0L Twin-Turbo V6 Hybrid,3000.0,500.0,320,3.0,300.0,Hybrid,2,650.0,Yes
Nissan,Skyline 400R,3.0L Twin-Turbo V6,2997.0,400.0,250,4.5,35.0,Petrol,5,475.0,Yes
Nissan,Infiniti G37*,3.7L V6,3696.0,328.0,250,5.5,21.0,Petrol,5,365.0,No
Nissan,Patrol Black Edition,5.6L V8,5552.0,400.0,200,6.5,42.5,Petrol,7,560.0,No
Nissan,Ariya Empower+,Dual Electric Motors,87.0,389.0,200,5.1,34.0,Electric,5,600.0,No
Nissan,Datsun 510 (Classic),1.6L Inline-4,1595.0,96.0,175,10.2,12.5,Petrol,4,135.0,No
Nissan,200SX,2.0L Turbo Inline-4,1998.0,200.0,240,7.2,15.0,Petrol,4,265.0,Yes
